_id,Year,Month,Origin_Country,CustomsItem_2_Digits,CustomsItem_8_Digits,Exempt_CustomsItem,CustomsHouse,Quantity,Quantity_MeasurementUnitID,Quantity_MeasurementUnitName,TradeAgreementName,TermsOfSale,IsTradeAgreementWithQuota,NISCurrencyAmount,CurrencyCode,AutonomyTypeID,AutonomyType,GovernmentProcedureTypeName,GovernmentProcedureTypeEnglishName,IsPreferenceDocument,GeneralCustomsTax,PurchaseTax,VAT
1,2024,1,CN,29,29171900,,Ben Gurion Airport,1.000,6,Kilogram,,EXW,0,117.00,ILS,,Israel,יבוא מסחרי,CommercialImport,0,0.00,0.00,21.00
2,2024,1,CN,29,29181900,,Ben Gurion Airport,0.010,6,Kilogram,,EXW,0,194.83,USD,,Israel,יבוא מסחרי,CommercialImport,0,0.00,0.00,33.00
3,2024,1,CN,29,29182900,,Ben Gurion Airport,0.001,6,Kilogram,,EXW,0,958.80,USD,,Israel,יבוא מסחרי,CommercialImport,0,0.00,0.00,164.00
4,2024,1,CN,29,29189900,,Ben Gurion Airport,0.010,6,Kilogram,,EXW,0,398.07,EUR,,Israel,יבוא מסחרי,CommercialImport,0,0.00,0.00,82.00
5,2024,1,CN,29,29209090,-6120000000,Ben Gurion Airport,2.000,6,Kilogram,,FOB,0,7.54,USD,,Israel,יבוא מסחרי,CommercialImport,0,0.00,0.00,0.00
6,2024,1,CN,29,29221900,,Ben Gurion Airport,1.000,6,Kilogram,,FCA,0,156.03,EUR,,Israel,יבוא מסחרי,CommercialImport,1,0.00,0.00,28.00
7,2024,1,CN,29,29224100,,Haifa,156400.000,6,Kilogram,,CIF,0,533220.06,USD,,Israel,יבוא מסחרי,CommercialImport,0,0.00,0.00,92508.00
8,2024,1,CN,29,29224200,,Ben Gurion Airport,1.000,6,Kilogram,,CIP,0,79.16,USD,,Israel,יבוא מסחרי,CommercialImport,0,0.00,0.00,20.00
9,2024,1,CN,29,29224900,,Ben Gurion Airport,0.005,6,Kilogram,,FCA,0,773.32,USD,,Israel,יבוא מסחרי,CommercialImport,0,0.00,0.00,142.00
10,2024,1,CN,29,29225000,,Ben Gurion Airport,6.000,6,Kilogram,,EXW,0,1838.25,ILS,,Israel,יבוא מסחרי,CommercialImport,0,0.00,0.00,329.00
